,PUBCHEM_CID,smile_1851,p450-cyp3a4-Potency
0,644510,C1OC2=C(O1)C=C3C(=C2)C=C(C(=O)N3)CN(CCCO)CC4=NN=NN4CC5=CC=C(C=C5)F,3.16228
1,1960010,CCN1C2=CC=CC=C2/C(=C/3\C(=O)N(C(=S)S3)CCCOC)/C1=O,3.54813
2,644675,CC(=O)N(C1=CC2=C(C=C1)OC(=O)S2)S(=O)(=O)C3=CC=CS3,14.1254
3,644851,C1=CC=C(C=C1)C2=NNC(=N2)C3=CC=CC=C3Cl,28.1838
4,644890,CC(C)(C)N1C(=NN=N1)C(C2=CC=CC=C2OC)N3CCN(CC3)CC4=CC=NC=C4,3.16228
5,644968,COC1=CC=CC=C1CNC(=O)CN2N=C(N=N2)C3=CC=NC=C3,3.16228
6,645164,CCC(C1=NN=NN1CC2CCCO2)N(CCN3CCOCC3)CC4=CC5=C(C=CC(=C5)C)NC4=O,15.8489
7,645323,COC1=CC=C(C=C1)NC2=NC(=NC(=N2)N)CSC3=NNC(=N3)C4=CC=CC=C4,3.98107
8,645573,CCN1C(=NN=C1SCC(=O)N(CC)CC)C2=CC3=CC=CC=C3C=C2O,7.94328
9,645575,CCOC1=CC(=C(C=C1NC(=O)C2=CC=CO2)OCC)NC(=O)C3CCCCC3,1.12202
10,645578,CC1CCCC(N1C(=O)C2=CC=C(C=C2)S(=O)(=O)N3CCC(CC3)N4C5=C(C=C(C=C5)C)N=N4)C,1.41254
11,645818,COC1=CC=CC2=C1NC=C(C2=O)C(=O)NCC3=CC=CS3,1.77828
12,645911,CCC1=NN=C(N1N)SCC2=CC=C(C=C2)OC(C)C,14.1254
13,645929,CC(C)(C)NC(=O)CSC1=NN=C(N1C2CCCCC2)CC3=CC4=C(C=C3)OCO4,0.446684
14,645965,CC1CC2=CC=CC=C2N1C(=O)CN3CCC(CC3)N4C5=C(C=C(C=C5)C)N=N4,10
15,6398898,C1=CC=C(C=C1)COC(=O)CSC2=NC3=C(C4=C(N3)C=CC(=C4)F)N=N2,8.91251
16,646118,CCC1=C(N2C(=NC=N2)N=C1C)NCCC3=CC=C(C=C3)OC,25.1189
17,646293,CC1=CC2=C(C=C1)C=C(C3=NN=C(N23)SCC(=O)NCC4=CC=CO4)C,22.3872
