,PUBCHEM_CID,smile_1851,p450-cyp2c9-Potency
0,6602638,CCCC(=O)NC1=CC(=C(C=C1)N2CCN(CC2)CC)Cl.Cl,0.177828
1,644510,C1OC2=C(O1)C=C3C(=C2)C=C(C(=O)N3)CN(CCCO)CC4=NN=NN4CC5=CC=C(C=C5)F,11.2202
2,1960010,CCN1C2=CC=CC=C2/C(=C/3\C(=O)N(C(=S)S3)CCCOC)/C1=O,0.794328
3,644675,CC(=O)N(C1=CC2=C(C=C1)OC(=O)S2)S(=O)(=O)C3=CC=CS3,14.1254
4,644851,C1=CC=C(C=C1)C2=NNC(=N2)C3=CC=CC=C3Cl,28.1838
5,644890,CC(C)(C)N1C(=NN=N1)C(C2=CC=CC=C2OC)N3CCN(CC3)CC4=CC=NC=C4,0.630957
6,644968,COC1=CC=CC=C1CNC(=O)CN2N=C(N=N2)C3=CC=NC=C3,7.94328
7,645063,CC1=CC=CC=C1NC(=O)N2CCCC2C(=O)NC3=CC=CC(=C3)NC(=O)C,19.9526
8,6602688,C1COCCN1CCN2C3=CC=CC=C3N(C2=N)CC(=O)C4=CC(=C(C=C4)Cl)Cl.Br,10
9,645323,COC1=CC=C(C=C1)NC2=NC(=NC(=N2)N)CSC3=NNC(=N3)C4=CC=CC=C4,12.5893
10,645448,CCC(C)(C)NC(=O)C1=CC2=C(C=C1)OC(C(=O)N2CC(=O)OC)(C)C,28.1838
11,645569,CCC1=CC2=C(S1)N=CNC2=O,28.1838
12,645573,CCN1C(=NN=C1SCC(=O)N(CC)CC)C2=CC3=CC=CC=C3C=C2O,12.5893
13,645575,CCOC1=CC(=C(C=C1NC(=O)C2=CC=CO2)OCC)NC(=O)C3CCCCC3,11.2202
14,645578,CC1CCCC(N1C(=O)C2=CC=C(C=C2)S(=O)(=O)N3CCC(CC3)N4C5=C(C=C(C=C5)C)N=N4)C,15.8489
15,5721248,C1C(OC2=CC=CC=C2O1)/C(=N/O)/N.Cl,2.51189
16,645818,COC1=CC=CC2=C1NC=C(C2=O)C(=O)NCC3=CC=CS3,6.30957
17,645911,CCC1=NN=C(N1N)SCC2=CC=C(C=C2)OC(C)C,0.00562341
18,6398898,C1=CC=C(C=C1)COC(=O)CSC2=NC3=C(C4=C(N3)C=CC(=C4)F)N=N2,0.0707946
19,646118,CCC1=C(N2C(=NC=N2)N=C1C)NCCC3=CC=C(C=C3)OC,1.58489
20,646164,CCOC(=O)CSC1=C(C(C2=C(N1)CCCC2=O)C)C#N,22.3872
21,646293,CC1=CC2=C(C=C1)C=C(C3=NN=C(N23)SCC(=O)NCC4=CC=CO4)C,15.8489
22,646352,CC1=CC=C(C=C1)N2C(=NN=C2SCC(=O)N3CCOCC3)C4=CN=CC=C4,17.7828
23,646395,CCSC1=C(C2(CCCCC2)C(=C(N1)N)C#N)C#N,2.81838
24,646427,C1CN(CCN1C2=NC=C(C=C2)C(F)(F)F)C3=CC(=NC4=NC=NN34)C5=CC=CC=C5,2.23872
25,646472,CCOC(=O)C1=CC2=C(N1CC(=O)N3CCN(CC3)C(=O)C4=CC=CO4)C=C(S2)C,19.9526
26,646897,CN(C)C=C1C(=O)N(C(=O)N(C1=O)C2CCCCC2)C3CCCCC3,2.23872
27,6398903,CC1=CC(=C(C=C1)C)/C(=C/2\C(N(C(=O)C2=O)CCN3CCOCC3)C4=CC=CO4)/O,0.1
28,647114,CN1C2=CC=CC=C2N=C1SC3=CS(=O)(=O)C4=CC=CC=C43,28.1838
29,647166,CCOC1=CC=C(C=C1)C2=NN=C(O2)C3=CC=NC=C3,12.5893
30,647205,CC(C(=O)NC1CCCC1)N(C2=CC3=C(C=C2)OCCO3)C(=O)C4=C(C(=NS4)C(=O)N)N,12.5893
31,647302,CN1C(=CN=C1NCC2=CC=CC=C2)C3=CC4=C(C=C3)OCO4.C(=O)(C(=O)O)O,31.6228
32,647585,CC1=CC(=CC=C1)NC(=O)CSC2=NNC(=N2)C3=CC=NC=C3,0.281838
33,647727,C1CCN(C1)S(=O)(=O)C2=CC=C(C=C2)NC(=O)C3=CC=C(C=C3)CN4CCOCC4,10
34,647748,CC1=CC=CC=C1OCC(=O)NC2=CC(=C(C=C2)N3CCN(CC3)C(=O)C(C)C)Cl,3.98107
35,6602522,C1CCC(=CC1)CCNC(=O)CN2CCN(CC2)C3=NC=CC=N3.Cl,3.54813
36,647933,C1CN(CCN1C2=CC=CC=C2)C(=O)NC3=CC(=CC=C3)NC(=O)N4CCN(CC4)C5=CC=CC=C5,7.94328
37,647987,CC1=C(C=C(C=C1)Cl)N2CCN(CC2)S(=O)(=O)C3=CC4=C(C=C3)OCCO4,2.81838
38,647996,CC1=CC(=CC=C1)NC2=NC3=C(N2CC(CO)O)C(=O)N(C(=O)N3C)C,17.7828
39,648007,CCOC(=O)C1=C(SC(=C1C)C)NC(=O)CSC2=NN=NN2C,22.3872
40,648068,CCOC1=CC=CC(=C1)C2C(=C(C(=O)N2CC3=CC=NC=C3)O)C(=O)C4=CC=C(O4)C,12.5893
41,648175,CCN1C(=NN=C1SCC(=O)NC(C)(C)C)CC2=CC=CC=C2,12.5893
42,648218,CCOC(=O)C1=CC=C(C=C1)NC(=O)C2CCCO2,0.0251189
43,648236,CCC(C)(C)N1C(=NN=N1)C(C(C)C)N(CCCO)CC2=CC3=C(C=CC(=C3)C)NC2=O,14.1254
44,648282,COC1=C(C=C2C(=C1)C=C(C(=O)N2)CN(CCCO)S(=O)(=O)C3=CC=CC=C3Cl)OC,7.07946
45,648428,CC(C)CN1C(=CN=C1SCC(=O)N2CCOCC2)C3=CC=C(C=C3)Cl,14.1254
